DD_ID,DD_EN,DD_AR,DD_Is_Active,DD_Sort_Order
DD_YesNo,Yes,نعم,TRUE,1
DD_YesNo,No,لا,TRUE,2
DD_Boolean,TRUE,صحيح,TRUE,1
DD_Boolean,FALSE,خطأ,TRUE,2
DD_User_Status,Active,نشط,TRUE,1
DD_User_Status,Inactive,غير نشط,TRUE,2
DD_Gender,Male,ذكر,TRUE,1
DD_Gender,Female,أنثى,TRUE,2
DD_Project_Status,New,جديد,TRUE,1
DD_Project_Status,Active,جاري التنفيذ,TRUE,2
DD_Project_Status,Completed,مكتمل,TRUE,3
DD_Project_Status,On_Hold,معلق,TRUE,4
DD_Project_Type,Internal,داخلي,TRUE,1
DD_Project_Type,Client,خارجي,TRUE,2
DD_Priority,High,عالية,TRUE,1
DD_Priority,Medium,متوسطة,TRUE,2
DD_Priority,Low,منخفضة,TRUE,3
DD_Task_Status,Pending,قيد الانتظار,TRUE,1
DD_Task_Status,In_Progress,جاري العمل,TRUE,2
DD_Task_Status,Completed,مكتملة,TRUE,3
DD_Payment_Method,Cash,نقدية,TRUE,1
DD_Payment_Method,Bank,تحويل بنكي,TRUE,2
DD_Payment_Method,Cheque,شيك,TRUE,3
DD_Payment_Method,Custody,عهدة موظف,TRUE,4
DD_Payment_Status,Paid,مدفوع,TRUE,1
DD_Payment_Status,Pending,معلق,TRUE,2
DD_Expense_Category,Rent,إيجار,TRUE,1
DD_Expense_Category,Utilities,مرافق,TRUE,2
DD_Expense_Category,Maintenance,صيانة,TRUE,3
DD_Expense_Category,Purchases,مشتريات,TRUE,4
DD_Leave_Type,Annual,سنوية,TRUE,1
DD_Leave_Type,Sick,مرضية,TRUE,2
DD_Leave_Type,Unpaid,بدون راتب,TRUE,3
DD_Job_Titles,Manager,مدير,TRUE,1
DD_Job_Titles,Engineer,مهندس,TRUE,2
DD_Job_Titles,Accountant,محاسب,TRUE,3
DD_Job_Titles,Worker,عامل,TRUE,4
DD_Units,Piece,قطعة,TRUE,1
DD_Units,KG,كجم,TRUE,2
DD_Units,Meter,متر,TRUE,3
DD_MFA_Status,Enabled,مُفعّل,TRUE,1
DD_MFA_Status,Disabled,غير مُفعّل,TRUE,2
DD_Permission_Categories,USERS,المستخدمون,TRUE,1
DD_Permission_Categories,SECURITY,الأمان,TRUE,2
DD_Permission_Categories,AUDIT,التدقيق,TRUE,3
DD_Scopes,GLOBAL,عالمي,TRUE,1
DD_Scopes,DEPARTMENT,الإدارة,TRUE,2
