FORM_ID,TAB_Section,Column_Pointer,Field_Type,Smart_State,DYN_Link
FORM_SYS_AddUser,Account,EMP_ID,Smart_Lookup,EDITABLE,DYN_EMPLOYEES
FORM_SYS_AddUser,Account,USR_Name,Text,LOCKED_ON_EDIT,
FORM_SYS_AddUser,Account,EMP_Email,Text,READ_ONLY,
FORM_SYS_AddUser,Security,Password_Hash,Password,EDITABLE,
FORM_SYS_AddUser,Security,ROL_ID,Dropdown,EDITABLE,DYN_ROLES
FORM_SYS_AddRole,Role Info,ROL_Title,Text,EDITABLE,
FORM_SYS_AddRole,Role Info,ROL_Notes,Text,EDITABLE,
FORM_SYS_AddDocument,File Info,DOC_Entity,Dropdown,LOCKED_ON_EDIT,DD_Attachment_Entities
FORM_SYS_AddDocument,File Info,DOC_Label,Text,EDITABLE,
FORM_SYS_AddDocument,Upload,DOC_Drive_URL,Attachment_Area,EDITABLE,
FORM_SYS_AddPubHoliday,Main,Pub_Holiday_Name,Text,EDITABLE,
FORM_SYS_AddPubHoliday,Main,Pub_Holiday_Date,Date,EDITABLE,
FORM_SYS_ViewUser,Profile,USR_ID,Text,READ_ONLY,
FORM_SYS_ViewUser,Profile,EMP_Name_EN,Text,READ_ONLY,
FORM_SYS_ViewUser,Activity Log,AUD_ID,Related_View,READ_ONLY,SYS_Audit_Log
FORM_SYS_ViewUser,Sessions,SESS_ID,Related_View,READ_ONLY,SYS_Sessions
FORM_SYS_ViewRole,Info,ROL_Title,Text,READ_ONLY,
FORM_SYS_ViewRole,Permissions,SRP_ID,Related_View,READ_ONLY,SYS_Role_Permissions
FORM_HRM_AddDepartment,Main,DEPT_Name,Text,EDITABLE,
FORM_HRM_AddEmployee,Personal,EMP_Name_AR,Text,EDITABLE,
FORM_HRM_AddEmployee,Personal,EMP_Name_EN,Text,EDITABLE,
FORM_HRM_AddEmployee,Personal,EMP_Mob_Main,Text,EDITABLE,
FORM_HRM_AddEmployee,Job,Job_Title,Dropdown,EDITABLE,DD_Job_Titles
FORM_HRM_AddEmployee,Job,DEPT_Name,Dropdown,EDITABLE,DYN_DEPTS
FORM_HRM_AddEmployee,Job,Hire_Date,Date,EDITABLE,
FORM_HRM_AddEmployee,Financial,Basic_Salary,Number,EDITABLE,
FORM_HRM_AddAttendance,Entry,EMP_ID,Smart_Lookup,EDITABLE,DYN_EMPLOYEES
FORM_HRM_AddAttendance,Entry,ATT_Date,Date,EDITABLE,
FORM_HRM_AddAttendance,Entry,ATT_Check_In,Text,EDITABLE,
FORM_HRM_AddAttendance,Entry,ATT_Check_Out,Text,EDITABLE,
FORM_HRM_AddLeave,Request,EMP_ID,Smart_Lookup,EDITABLE,DYN_EMPLOYEES
FORM_HRM_AddLeave,Request,LV_Type,Dropdown,EDITABLE,DD_Leave_Type
FORM_HRM_AddLeave,Request,LV_Start_Date,Date,EDITABLE,
FORM_HRM_AddLeave,Request,LV_End_Date,Date,EDITABLE,
FORM_HRM_AddAdvance,Request,EMP_ID,Smart_Lookup,EDITABLE,DYN_EMPLOYEES
